F1,F2,F3,F4,F6,F7
10.49958,-0.08316243,0.22693634,-0.5176565,3.0764904,8.659986
27.794937,0.2054578,0.4879315,0.6484494,4.2020793,44.42181
6.9271736,-0.12561357,0.25199854,-1.0670956,2.7631233,0.460482
6.9423523,-0.12596536,0.24887156,-1.0523435,2.767696,0.528481
99.39772,-1.9559792,0.8253701,-12.670382,7.1677213,-232.81079
516.83496,2.298608,-0.7322972,-30.69887,24.50348,-3029.6267
31.150232,0.26144898,0.53856397,0.8746741,4.4204435,51.359596
32.448246,0.369794,-0.12697124,-8.569221,5.2687936,-48.455387
44.522045,-0.056837678,0.19091165,1.8228946,5.3264904,83.54315
152.42458,-0.17713213,0.007698536,8.264158,11.659027,472.32016
8.882544,-0.110147595,0.20253408,-0.6266819,2.971253,5.316418
27.611565,0.20239556,0.48516393,0.6360861,4.1901455,44.04265
139.24521,-1.6166464,0.67953515,-14.89348,9.75061,-406.57098
121.87138,-0.040805936,0.13995194,6.6010695,9.997795,335.99475
214.36494,0.80194056,-0.35871863,-19.493837,16.642916,-759.7027
7.720531,-0.4806862,0.05256927,-1.7825737,2.6478822,-1.0992033
54.730637,0.042046547,0.05635953,-10.410847,6.6740737,-89.91964
10.305366,-0.08640325,0.2240057,-0.530751,3.0638509,8.258405
7.176914,-0.09225154,0.22430086,-0.74901736,2.8544526,1.9016429
156.26524,-1.0639957,0.4286139,-15.949732,11.345076,-485.31912
11.655724,-1.0500854,0.14123654,-5.4691944,2.076772,-6.7471814
122.907585,-2.147141,0.92039514,-13.879557,8.220081,-330.98013
12.354355,-0.79740226,0.07720852,-5.821353,2.4027193,-8.487288
36.467506,0.23422289,0.50112987,1.2431722,4.7741623,63.325344
155.21947,-1.0979508,0.4440291,-15.884836,11.24711,-480.48056
389.72812,-1.6404566,-1.0830476,18.70047,22.532291,1911.0422
7.749343,-0.48696506,0.05161774,-1.8071688,2.6434968,-1.1330619
96.62419,-0.5044483,-0.33340597,5.260786,8.650362,230.51604
643.6349,-3.938723,-2.3652694,25.374733,30.491474,4138.3716
185.26122,-0.12247169,0.0011217594,-17.749208,14.061468,-619.4776
7.75056,-0.4872303,0.051577568,-1.8082076,2.6433115,-1.1344919
6.9377637,-0.10819709,0.29407012,-1.18992,2.7305608,0.18660378
41.234253,0.2708516,-0.0889411,-9.276798,5.8849263,-64.81636
198.86989,-0.408929,-0.19719434,10.641632,14.061094,702.6267
6.978271,-0.116517425,0.24133503,-0.96588707,2.7909176,0.8627399
252.7125,-0.6887654,-0.4364879,13.329633,16.789993,980.0485
10.9642105,-1.0799776,0.110787034,-4.843075,2.0700285,-5.4179606
39.17629,0.1363399,0.39680195,1.4381356,4.9599123,70.124695
6.9327316,-0.16504717,0.22336602,-1.1192012,2.7533097,0.21245515
6.91693,-0.12505412,0.25447154,-1.0772642,2.7599556,0.414917
24.432827,0.14935029,0.43719506,0.4217658,3.983272,37.46993
76.426315,-0.6160852,-0.42509246,3.9930036,7.4136915,169.88553
30.124266,0.39596677,-0.13703096,-8.382061,5.105823,-44.12776
28.689632,0.4121226,-0.14324057,-8.266524,5.005217,-41.45624
13.041323,-0.4825369,0.012776613,-6.138192,2.788192,-10.356883
7.077628,-0.10272658,0.21376657,-0.754316,2.8490937,1.6750494
126.30861,-2.036705,0.87025666,-14.090639,8.538698,-346.71594
6.9296303,-0.11158097,0.28433108,-1.1586237,2.738502,0.24944508
204.27077,-0.43651378,-0.22112417,10.914113,14.337156,730.01776
113.01782,-2.4559207,1.0604899,-13.269045,7.3084702,-285.3594
6.92889,-0.11544073,0.27544534,-1.1334901,2.7452602,0.3072573
426.83502,-1.9328519,-1.2635355,19.942156,23.913319,2195.7725
11.32962,-1.1137198,0.16924596,-5.279373,1.9785264,-6.0636086
37.345898,0.31464005,-0.10577083,-8.963654,5.612249,-57.57561
29.023758,0.2259599,0.5064709,0.73130083,4.282052,46.96265
9.242871,-0.10413396,0.20797205,-0.6023876,2.9947033,6.0614724
133.3236,-0.09064078,0.09056795,7.2322226,10.626839,385.9019
167.21999,-0.7082869,0.26710153,-16.62958,12.371336,-536.0045
11.936411,-0.059185386,0.24861836,-0.4207809,3.17,11.63094
14.644303,-0.013996959,0.28948188,-0.23820645,3.3462307,17.230082
7.305852,-0.08171475,0.17391801,-0.668041,2.9280078,2.0710483
15.848808,0.5567292,-0.19882488,-7.2323904,4.104739,-17.544542
22.180265,0.111762166,0.40320516,0.2698908,3.8366742,32.812283
227.65123,-0.55480754,-0.3245542,12.101333,15.538504,847.42346
13.498156,-0.033122897,0.27218652,-0.3154834,3.2716389,14.860177
18.680132,0.053352952,0.3503859,0.033901215,3.6088839,25.575018
41.689976,0.04550588,0.29998958,1.6190569,5.1322846,76.43434
6.930109,-0.11777198,0.2698878,-1.1172584,2.7496948,0.348163
13.9663315,-0.058567524,-0.07398176,-6.5648174,3.3072355,-12.874307
34.208546,0.31248295,0.5847132,1.0808749,4.61948,57.6833
320.18427,-1.1366612,-0.7515979,16.101543,19.721697,1419.0409
92.26376,-0.75602233,-0.5877931,5.033927,8.420687,215.25522
6.9303236,-0.11472988,0.27693343,-1.1373013,2.7442899,0.3012693
221.81535,-0.5244982,-0.29859996,11.809706,15.2424965,817.397
148.69025,-0.16090119,0.023806453,8.058212,11.453796,456.06735
232.03758,-0.57759607,-0.3440423,12.320304,15.760805,870.0253
246.05801,1.4232059,0.07883155,-20.57955,17.484348,-989.6699
23.838018,0.13942444,0.42822003,0.381662,3.9445617,36.24004
448.92462,-2.1118445,-1.3718185,20.65173,24.711216,2369.8054
418.34534,-1.8656243,-1.2222846,19.660471,23.599312,2130.2637
7.73779,-0.088341594,0.15030384,-0.61745006,2.97519,2.8999925
11.460759,-1.0886127,0.15839481,-5.3567343,2.0171084,-6.3379455
26.689608,0.43464565,-0.15189898,-8.105451,4.8649635,-37.73187
